slug,brand,displayName,yearRange,status,representativeBattery,fuelMap,customerHeroBattery,customerCardDisplay,source,catalogMatch
renault-samsung-the-new-sm6-2020,renault,더 뉴 SM6,2020-현재,matched,DIN74L,,DIN74L,DIN74L,operator_slug_primary,true
renault-samsung-sm7-new-art-2008,renault,SM7 뉴 아트,2008-2010,matched,80L,"{""2.3/일반"":""80L"",""3.5/대용량"":""DIN100L""}",80L,80L,operator_slug_primary,true
renault-samsung-all-new-sm7-2011,renault,올 뉴 SM7,2011-2013,matched,DIN90L,"{""2.5/LPG"":""DIN90L"",""3.5"":""DIN100L""}",DIN90L,DIN90L,operator_slug_primary,true
renault-samsung-sm7-nova-2014,renault,SM7 노바,2014-2019,matched,DIN90L,"{""2.0 LPG/2.5"":""DIN90L"",""3.5"":""DIN100L""}",DIN90L,DIN90L,operator_slug_primary,true
renault-samsung-qm5-2007,renault,QM5,2007-2013,matched,80L,,80L,80L,operator_slug_primary,true
renault-samsung-qm3-2013,renault,QM3,2013-2016,matched,AGM70L,,AGM70L,AGM70L,operator_slug_primary,true
renault-samsung-qm6-2016,renault,QM6,2016-2019,matched,DIN74L,"{""가솔린/LPe"":""DIN74L"",""디젤/ISG"":""AGM70L""}",DIN74L,DIN74L,operator_slug_primary,true
renault-samsung-the-new-qm6-2019,renault,더 뉴 QM6,2019-2022,matched,DIN74L,,DIN74L,DIN74L,operator_slug_primary,true
renault-samsung-qm6-quest-2023,renault,QM6 퀘스트,2023-현재,matched,DIN74L,,DIN74L,DIN74L,operator_slug_primary,true
renault-samsung-xm3-2020,renault,XM3,2020-현재,matched,AGM60L,,AGM60L,AGM60L,operator_slug_primary,true
renault-arkana-2024,renault,아르카나,2024-현재,matched,AGM60L,,AGM60L,AGM60L,operator_slug_primary,true
renault-master-2018,renault,르노 마스터,2018-현재,matched,AGM95L,,AGM95L,AGM95L,operator_slug_primary,true
ssangyong-tivoli-2015,ssangyong,티볼리,2015-2016,matched,80L,,80L,80L,operator_slug_primary,true
ssangyong-tivoli-armour-2017,ssangyong,티볼리 아머,2017-2018,matched,80L,,80L,80L,operator_slug_primary,true
ssangyong-tivoli-air-2016,ssangyong,티볼리 에어,2016-2020,matched,80L,,80L,80L,operator_slug_primary,true
ssangyong-tivoli-air-2021,ssangyong,티볼리 에어,2021-2022,matched,AGM70L,,AGM70L,AGM70L,operator_slug_primary,true
